name,default_name,is_team
Ajax,Ajax,f
Cristina,Cristina,f
Angel Dust,Angel Dust,f
Cable,Cable,f
Callisto,Callisto,f
Cyclops,Cyclops,f
Ghidorah?,King Ghidorah,f
Wade Wilson,Deadpool,f
Barakapool,Barakapool,f
Weapon XI,Barakapool,f
Domino,Domino,f
Firefist,Firefist,f
Ressel Collins,Firefist,f
Remy LeBeau,Gambit,f
Gambit,Gambit,f
Havok,Havok,f
Alex Summers,Havok,f
Glory,Glory,f
Invisible Man,Invisible Man,f
Juan Rico,"Juan `"Johnny`" Rico",f
Johnny Rico,"Juan `"Johnny`" Rico",f
Juggernaut,Juggernaut,f
Erik Lehnsherr,Magneto,f
Magneto,Magneto,f
Negasonic,Negasonic Teenage Warhead,f
Psylocke,Psylocke,f
Pyro,Pyro,f
John Allerdyce,John Allerdyce,f
Sebastian Shaw,Sebastian Shaw,f
Sabretooth,Sabretooth,f
Victor Creed,Victor Creed,f
Wolverine,Wolverine,f
James Howlett,Wolverine,f
X23-23,X23-23,f
X23 23,X23-23,f
"Juan `"Johnny`" Rico","Juan `"Johnny`" Rico",f
Airi Yui,Airi Yui,f
Laura,Laura,f
X-24,X-24,f
X24,X-24,f
Yukio,Yukio,f
Yuriko Oyama,Deathstrike,f
Deathstrike,Deathstrike,f
Dennis,Dennis,f
King Neptune,King Neptune,f
Larry the Lobster,Larry the Lobster,f
Mermaid Man,Mermaid Man,f
Barnacle Boy,Barnacle Boy,f
Squidward,Squidward,f
Spongebob,Spongebob,f
Barugon,Barugon,f
Heisei Gamera,Heisei Gamera,f
Gamera,Gamera,f
Guiron,Guiron,f
Gyaos,Gyaos,f
Iris,Iris,f
Jiger,Jiger,f
Legion,Legion,f
Godzilla,Godzilla,f
Zilla,Zilla,f
Shin Godzilla,Shin Godzilla,f
Monster Warrior Godzilla,Monster Warrior Godzilla,f
Anguirus,Anguirus,f
King Kong,King Kong,f
Mothra,Mothra,f
Mothra Leo,Mothra Leo,f
Desghidorah,Desghidorah,f
Monster X,Monster X,f
Keizer Ghidorah,Monster X,f
Minilla,Minilla,f
Kamacuras,Kamacuras,f
Kumonga,Kumonga,f
Gorosaurus,Gorosaurus,f
Hedorah,Hedorah,f
Gigan,Gigan,f
Megalon,Megalon,f
Jet Jaguar,Jet Jaguar,f
Mecha Godzilla,Mechagodzilla,f
Mechagodzilla II,Mechagodzilla II,f
Mecha Godzilla II,Mechagodzilla II,f
Mechagodzilla 2,Mechagodzilla II,f
Mecha Godzilla 2,Mechagodzilla II,f
King Caesar,King Caesar,f
Titanosaurus,Titanosaurus,f
Space Godzilla,SpaceGodzilla,f
Rozan,Rozan,f
Biollante,Biollante,f
MOGUERA,MOGUERA,f
SpaceGodzilla,SpaceGodzilla,f
Kiryu,Kiryu,f
Millennium Mechagodzilla,Millennium Mechagodzilla,f
Megaguirus,Megaguirus,f
Orga,Orga,f
